Element1,Element2
CVE-2012-0158,CVE-2014-4114
CVE-2021-26857,CVE-2021-34473
CVE-2021-40444,CVE-2018-20250
CVE-2015-2545,CVE-2012-0158
CVE-2015-2545,CVE-2012-1856
CVE-2021-27065,CVE-2017-11882
CVE-2021-34473,CVE-2017-11882
CVE-2021-40444,CVE-2015-2545
CVE-2014-6352,CVE-2014-4114
CVE-2020-0688,CVE-2012-0158
CVE-2020-0688,CVE-2012-1856
CVE-2020-1472,CVE-2014-6352
CVE-2021-26857,CVE-2018-20250
CVE-2020-0688,CVE-2010-3333
CVE-2018-20250,CVE-2014-4114
CVE-2021-27065,CVE-2015-2545
CVE-2013-3906,CVE-2012-1856
CVE-2021-40444,CVE-2013-3906
CVE-2020-1472,CVE-2020-0688
CVE-2021-26855,CVE-2012-0158
CVE-2021-26855,CVE-2012-1856
CVE-2017-0144,CVE-2012-0158
CVE-2017-0144,CVE-2012-1856
CVE-2021-26857,CVE-2014-4114
CVE-2021-26855,CVE-2010-3333
CVE-2021-26855,CVE-2020-1472
CVE-2021-27065,CVE-2021-40444
CVE-2021-34473,CVE-2021-40444
CVE-2021-26857,CVE-2017-0144
CVE-2021-27065,CVE-2014-6352
CVE-2017-11882,CVE-2010-3333
CVE-2021-34473,CVE-2014-6352
CVE-2012-0158,CVE-2010-3333
CVE-2021-27065,CVE-2013-3906
CVE-2014-6352,CVE-2012-1856
CVE-2021-27065,CVE-2020-0688
CVE-2021-34473,CVE-2020-0688
CVE-2021-27065,CVE-2021-34473
CVE-2020-1472,CVE-2015-2545
CVE-2021-26855,CVE-2017-11882
CVE-2015-2545,CVE-2010-3333
CVE-2018-20250,CVE-2012-0158
CVE-2018-20250,CVE-2012-1856
CVE-2021-40444,CVE-2014-4114
CVE-2018-20250,CVE-2010-3333
CVE-2021-26857,CVE-2012-1856
CVE-2015-2545,CVE-2014-6352
CVE-2021-27065,CVE-2018-20250
CVE-2021-3693,CVE-2017-11882
CVE-2021-26605,CVE-2021-40444
CVE-2022-27925,CVE-2021-26605
CVE-2021-40444,CVE-2017-0144
CVE-2017-0144,CVE-2017-7269
CVE-2018-20250,CVE-2019-3396
CVE-2015-6585,CVE-2017-7269
CVE-2021-34527,CVE-2017-0144
CVE-2021-44228,CVE-2019-3396
CVE-2021-26606,CVE-2016-0189
CVE-2022-27925,CVE-2021-26606
CVE-2021-21551,CVE-2021-26605
CVE-2016-0034,CVE-2017-0144
CVE-2021-26605,CVE-2021-1647
CVE-2017-6884,CVE-2018-11776
CVE-2022-37042,CVE-2021-34527
CVE-2022-37042,CVE-2021-1647
CVE-2021-1647,CVE-2017-0144
CVE-2015-6585,CVE-2016-0189
CVE-2019-3396,CVE-2018-20250
CVE-2022-27925,CVE-2022-37042
CVE-2016-0189,CVE-2017-7269
CVE-2019-3396,CVE-2017-6884
CVE-2022-27925,CVE-2021-40444
CVE-2021-40444,CVE-2017-7269
CVE-2021-26606,CVE-2015-6585
CVE-2021-21551,CVE-2016-0189
CVE-2021-34527,CVE-2017-7269
CVE-2021-4034,CVE-2019-3396
CVE-2021-40444,CVE-2016-0034
CVE-2021-21551,CVE-2021-40444
CVE-2021-34527,CVE-2016-0034
CVE-2016-0034,CVE-2017-7269
CVE-2021-26605,CVE-2018-20250
CVE-2022-27925,CVE-2021-1647
CVE-2021-26605,CVE-2018-11776
CVE-2021-26605,CVE-2017-6884
CVE-2021-44228,CVE-2017-7269
CVE-2022-27925,CVE-2021-44228
CVE-2022-37042,CVE-2018-11776
CVE-2018-20250,CVE-2016-0034
CVE-2021-34527,CVE-2016-0189
CVE-2021-21551,CVE-2015-6585
CVE-2018-11776,CVE-2017-7269
CVE-2021-44228,CVE-2016-0034
CVE-2021-34527,CVE-2021-21551
CVE-2021-4034,CVE-2017-11882
CVE-2021-26606,CVE-2021-26605
CVE-2022-37042,CVE-2019-3396
CVE-2021-21551,CVE-2021-44228
CVE-2018-20250,CVE-2016-0189
CVE-2016-0189,CVE-2015-6585
CVE-2022-37042,CVE-2021-4034
CVE-2021-44228,CVE-2016-0189
CVE-2021-26605,CVE-2017-0144
CVE-2022-27925,CVE-2018-20250
CVE-2022-27925,CVE-2018-11776
CVE-2022-37042,CVE-2017-0144
CVE-2022-27925,CVE-2017-6884
CVE-2021-1647,CVE-2019-3396
CVE-2021-4034,CVE-2017-7269
CVE-2021-40444,CVE-2017-11882
CVE-2017-11882,CVE-2018-20250
CVE-2021-34527,CVE-2017-11882
CVE-2021-21551,CVE-2018-20250
CVE-2021-4034,CVE-2016-0034
CVE-2017-11882,CVE-2018-11776
CVE-2021-26606,CVE-2021-40444
CVE-2018-20250,CVE-2015-6585
CVE-2017-11882,CVE-2017-6884
CVE-2021-21551,CVE-2017-6884
CVE-2021-44228,CVE-2015-6585
CVE-2019-3396,CVE-2018-11776
CVE-2021-4034,CVE-2016-0189
CVE-2022-27925,CVE-2017-0144
CVE-2021-44228,CVE-2017-11882
CVE-2022-37042,CVE-2017-7269
CVE-2021-4034,CVE-2021-21551
CVE-2021-34527,CVE-2021-26605
CVE-2021-26606,CVE-2021-1647
CVE-2021-26606,CVE-2021-44228
CVE-2022-37042,CVE-2016-0034
CVE-2017-11882,CVE-2017-0144
CVE-2022-27925,CVE-2021-34527
CVE-2021-44228,CVE-2021-26605
CVE-2021-4034,CVE-2015-6585
CVE-2021-40444,CVE-2016-0189
CVE-2021-1647,CVE-2017-7269
CVE-2019-3396,CVE-2017-0144
CVE-2021-26605,CVE-2019-3396
CVE-2022-37042,CVE-2021-21551
CVE-2021-21551,CVE-2021-1647
CVE-2021-1647,CVE-2016-0034
CVE-2021-34527,CVE-2021-40444
CVE-2021-26606,CVE-2018-20250
CVE-2016-0034,CVE-2016-0189
CVE-2021-26606,CVE-2018-11776
CVE-2021-26606,CVE-2017-6884
CVE-2021-1647,CVE-2016-0189
CVE-2017-6884,CVE-2017-7269
CVE-2021-40444,CVE-2015-6585
CVE-2021-34527,CVE-2015-6585
CVE-2021-44228,CVE-2021-40444
CVE-2019-3396,CVE-2017-7269
CVE-2021-4034,CVE-2021-26605
CVE-2015-6585,CVE-2017-6884
CVE-2017-0144,CVE-2017-6884
CVE-2022-27925,CVE-2021-21551
CVE-2021-34527,CVE-2021-44228
CVE-2022-37042,CVE-2017-11882
CVE-2016-0034,CVE-2015-6585
CVE-2022-27925,CVE-2019-3396
CVE-2019-3396,CVE-2016-0034
CVE-2021-21551,CVE-2018-11776
CVE-2021-26606,CVE-2017-0144
CVE-2021-4034,CVE-2021-26606
CVE-2021-1647,CVE-2015-6585
CVE-2022-27925,CVE-2021-4034
CVE-2021-44228,CVE-2021-1647
CVE-2016-0189,CVE-2018-11776
CVE-2017-11882,CVE-2019-3396
CVE-2021-21551,CVE-2019-3396
CVE-2021-26605,CVE-2017-7269
CVE-2016-0189,CVE-2017-6884
CVE-2021-40444,CVE-2018-20250
CVE-2021-1647,CVE-2017-11882
CVE-2022-37042,CVE-2021-26605
CVE-2021-34527,CVE-2018-20250
CVE-2021-4034,CVE-2021-40444
CVE-2021-26605,CVE-2016-0034
CVE-2022-27925,CVE-2017-11882
CVE-2021-34527,CVE-2017-6884
CVE-2021-21551,CVE-2017-0144
CVE-2021-34527,CVE-2021-26606
CVE-2018-20250,CVE-2018-11776
CVE-2021-26605,CVE-2016-0189
CVE-2018-20250,CVE-2017-6884
CVE-2021-44228,CVE-2018-20250
CVE-2016-0189,CVE-2017-0144
CVE-2022-37042,CVE-2016-0189
CVE-2021-4034,CVE-2021-1647
CVE-2021-44228,CVE-2018-11776
CVE-2021-44228,CVE-2017-6884
CVE-2022-27925,CVE-2017-7269
CVE-2021-4034,CVE-2021-44228
CVE-2022-37042,CVE-2021-40444
CVE-2018-11776,CVE-2017-6884
CVE-2022-27925,CVE-2016-0034
CVE-2017-11882,CVE-2017-7269
CVE-2021-21551,CVE-2017-7269
CVE-2021-26605,CVE-2015-6585
CVE-2021-26606,CVE-2021-21551
CVE-2018-20250,CVE-2017-0144
CVE-2021-40444,CVE-2021-1647
CVE-2022-37042,CVE-2015-6585
CVE-2021-26606,CVE-2019-3396
CVE-2017-0144,CVE-2018-11776
CVE-2022-27925,CVE-2016-0189
CVE-2015-6585,CVE-2018-11776
CVE-2021-44228,CVE-2017-0144
CVE-2021-34527,CVE-2021-1647
CVE-2021-21551,CVE-2016-0034
CVE-2017-11882,CVE-2016-0034
CVE-2021-4034,CVE-2018-20250
CVE-2021-26605,CVE-2017-11882
CVE-2022-37042,CVE-2021-44228
CVE-2021-4034,CVE-2018-11776
CVE-2021-4034,CVE-2017-6884
CVE-2017-11882,CVE-2016-0189
CVE-2019-3396,CVE-2016-0189
CVE-2021-26606,CVE-2017-11882
CVE-2022-27925,CVE-2015-6585
CVE-2018-20250,CVE-2017-7269
CVE-2015-6585,CVE-2017-0144
CVE-2021-40444,CVE-2018-11776
CVE-2022-37042,CVE-2018-20250
CVE-2021-40444,CVE-2017-6884
CVE-2021-4034,CVE-2017-0144
CVE-2021-34527,CVE-2018-11776
CVE-2022-37042,CVE-2017-6884
CVE-2017-11882,CVE-2015-6585
CVE-2022-37042,CVE-2021-26606
CVE-2021-40444,CVE-2019-3396
CVE-2021-26606,CVE-2017-7269
CVE-2016-0034,CVE-2018-11776
CVE-2021-34527,CVE-2019-3396
CVE-2019-3396,CVE-2015-6585
CVE-2016-0034,CVE-2017-6884
CVE-2021-4034,CVE-2021-34527
CVE-2021-1647,CVE-2018-20250
CVE-2021-21551,CVE-2017-11882
CVE-2021-1647,CVE-2018-11776
CVE-2021-26606,CVE-2016-0034
CVE-2021-1647,CVE-2017-6884
CVE-2017-11882,CVE-2017-12824
CVE-2020-0688,CVE-2017-11882
CVE-2017-11882,CVE-2010-2883
CVE-2020-0688,CVE-2010-2883
CVE-2017-11882,CVE-2017-8759
CVE-2018-20250,CVE-2017-8759
