CVE-2017-0144,CWE-20,CAPEC-67,IOC-1,APT-C-09
CVE-2017-0144,CWE-20,CAPEC-67,IOC-2,APT-C-09
CVE-2017-0144,CWE-20,CAPEC-7,IOC-1,APT-C-09
CVE-2017-0144,CWE-20,CAPEC-7,IOC-2,APT-C-09
CVE-2017-0144,CWE-20,CAPEC-71,IOC-1,APT-C-09
CVE-2017-0144,CWE-20,CAPEC-71,IOC-2,APT-C-09
CVE-2017-0144,CWE-20,CAPEC-72,IOC-1,APT-C-09
CVE-2017-0144,CWE-20,CAPEC-72,IOC-2,APT-C-09
CVE-2017-0144,CWE-20,CAPEC-73,IOC-1,APT-C-09
CVE-2017-0144,CWE-20,CAPEC-73,IOC-2,APT-C-09
CVE-2017-0144,CWE-20,CAPEC-78,IOC-1,APT-C-09
CVE-2017-0144,CWE-20,CAPEC-78,IOC-2,APT-C-09
CVE-2017-0144,CWE-20,CAPEC-79,IOC-1,APT-C-09
CVE-2017-0144,CWE-20,CAPEC-79,IOC-2,APT-C-09
CVE-2017-0144,CWE-20,CAPEC-8,IOC-1,APT-C-09
CVE-2017-0144,CWE-20,CAPEC-8,IOC-2,APT-C-09
CVE-2017-0144,CWE-20,CAPEC-80,IOC-1,APT-C-09
CVE-2017-0144,CWE-20,CAPEC-80,IOC-2,APT-C-09
CVE-2017-0144,CWE-20,CAPEC-81,IOC-1,APT-C-09
CVE-2017-0144,CWE-20,CAPEC-81,IOC-2,APT-C-09
CVE-2017-0144,CWE-20,CAPEC-83,IOC-1,APT-C-09
CVE-2017-0144,CWE-20,CAPEC-83,IOC-2,APT-C-09
CVE-2017-0144,CWE-20,CAPEC-85,IOC-1,APT-C-09
CVE-2017-0144,CWE-20,CAPEC-85,IOC-2,APT-C-09
CVE-2017-0144,CWE-20,CAPEC-9,IOC-1,APT-C-09
CVE-2017-0144,CWE-20,CAPEC-9,IOC-2,APT-C-09
CVE-2020-0688,CWE-287,CAPEC-114,IOC-1,APT-C-09
CVE-2020-0688,CWE-287,CAPEC-114,IOC-2,APT-C-09
CVE-2020-0688,CWE-287,CAPEC-115,IOC-1,APT-C-09
CVE-2020-0688,CWE-287,CAPEC-115,IOC-2,APT-C-09
CVE-2020-0688,CWE-287,CAPEC-151,IOC-1,APT-C-09
CVE-2020-0688,CWE-287,CAPEC-151,IOC-2,APT-C-09
CVE-2020-0688,CWE-287,CAPEC-194,IOC-1,APT-C-09
CVE-2020-0688,CWE-287,CAPEC-194,IOC-2,APT-C-09
CVE-2020-0688,CWE-287,CAPEC-22,IOC-1,APT-C-09
